original,original_token_count,compressed,compressed_token_count,uncompressed_alt_one,uncompressed_alt_two
Discuss at least two risks associated with scraping data from websites. Describe steps an analyst could take to mitigate those risks.,25,,,,
What is Brdinje,5,,,,
How are tornadoes formed?,7,,,,
"Which ones are programming languages, out of C, Java, Node.js, Python, HTML, BigData, Spark?",27,,,,
Give me a bulleted list of the the first five books in the bible old testament?,20,,,,
What type of cheeses can you use to make a grilled cheese sandwich.,17,,,,
What is the tiny piece at the end of a shoelace called?,15,,,,
"What links Brazil, Uruguay, Mozambique and Angola",14,,,,
What the the effects of houseplants?,9,,,,
Who were the original 5 members of the Grateful Dead?,13,,,,
How is the The U.S. Naturalization Interview and test done?,15,,,,
What is Magical Thinking?,6,,,,
List top 5 people with most silver medals in the olympics,17,,,,
"Based on this paragraph, how many times has Joe Biden run for president and what characteristics make him unique among all past presidents?",27,,,,
What articles of clothes are often worn by people in summer months?,13,,,,
Which Dutch actress played Xenia Onatopp in the James Bond movie GoldenEye?,21,,,,
Which of the 10 largest earthquakes was the deadliest?,12,,,,
Give me some tips on how to train for a marathon.,13,,,,
Extract the names of the cities and rank them in alphabetical order?,14,,,,
Write a guide for how to catch a smallmouth bass.,14,,,,
"Which ones are metals and non metals: Copper, Hydrogen, Silver, Carbon, Gold, Nitrogen",23,,,,
Write a funny and whimsical horoscope reading,12,,,,
"From the passage provided, extract the date when the 34th Wisconsin Infantry Regiment was organized.",20,,,,
How did Robert Baratheon die?,9,,,,
"For the Zodiac sign Aries, Share some information from the given text.",17,,,,
"Without quoting from the text, can you summarise from wikipedia who Denis-Benjamin Viger was?",29,,,,
What is the best language in the world,8,,,,
"Tell me whether these are movies or film Directors: Sholay, Satyajit Ray, Mani Ratnam, Lagaan, Yash Chopra, Roja",36,,,,
How do you improve your basketball handles?,8,,,,
What is the future trend of job industry,8,,,,
How do I cast on a knitting project?,10,,,,
Why do Filipinos like eating rice so much?,10,,,,
What are the benefits of division of labour?,9,,,,
"According to the paragraph below, what is Generative AI?",13,,,,
"Identify which instrument is string or percussion: Pambai, Steel Guitar",15,,,,
What mammal lays the largest eggs?,10,,,,
Increased money supply (i.e. money printing),12,,,,
What is CBT?,5,,,,
What is appealing about Charleston in South Carolina?,9,,,,
Give me a list of nice board games to play with friends,13,,,,
Where is Shuyga?,7,,,,
What's the best way to cook a soft-boiled egg?,15,,,,
"What is ""diglossia""?",10,,,,
Give me a bulleted list of the three most recent prime ministers of India,18,,,,
"How would you categorize the following sports into two groups; baseball, archery, decathlon, hockey",23,,,,
What is the second oldest ballpark in Major League Baseball?,12,,,,
What are some types of potatoes commonly grown in Ireland?,11,,,,
How do you know if you reached product market fit?,12,,,,
What are index funds?,5,,,,
How to calculate growth rate?,6,,,,
Name 10 of Kris Jenner's Grandchildren,10,,,,
"Categorize each of the following as either 'spicy', 'not spicy' or 'sometimes spicy': jalapenos, chilis, sriracha, chips, pizza, cocktails, fruit, milk",53,,,,
What is the Turkish drink that tastes similar to,9,,,,
How many campgrounds does Shenandoah National Park have?,15,,,,
Who was the first women to do the spacewalk?,11,,,,
"Tell me whether each South Park character is a kid or adult: Randy, Stan, Kyle, Butters, Sharon",24,,,,
What is the kiwi bird?,9,,,,
What is Unified Payments Interface (UPI) in India,13,,,,
What is a spiral staircase?,7,,,,
"Miles Davis, Rhianna, Elton John, John Coltrane, Taylor Swift, Amy Winehouse, Elvis, Billy Holiday. These are all musicians - list which of these are jazz musicians, and which are not.",48,,,,
"Extract the criticisms that modern portfolio theory faces from this link https://en.wikipedia.org/wiki/Modern_portfolio_theory, place them in a bullet list",41,,,,
Give me a list of things I can do with a bunch of extra money.,18,,,,
Which is considered the first human technology?,8,,,,
"Given this paragraph about the Cold War, why did the Soviets pull out of their war in Afghanistan?",21,,,,
Why did the Seattle Supersonics leave Seattle?,11,,,,
"Which of the following words starts with the letter S: Snake, Towel, Table, Shower, Yam, Butterfly, Apple",26,,,,
What does the Gini coefficient measure?,8,,,,
Give me some facts about Ethiopia?,7,,,,
What are the advantages to studying Engineering in college?,10,,,,
"According to the text below about UVA, name the UVA alumni that have won the Pulitzer Prize.",22,,,,
Summarize the Challenger Sales Methodology for me,11,,,,
Who are the three team managers that hold the record for the most appearances in the FIFA Club World Cup final?,23,,,,
Give me a bulleted list of the last 5 Super Bowl winning teams,16,,,,
Explain how a mechanical watch works,7,,,,
"Classify these objects based on their shape.
wheel, coin, CD, stamp, chess board",22,,,,
Why are all the planets and moons round in shape? What makes them round? Does there exist another shape?,24,,,,
what are the advantages of having a vegetable garden at home on the owners health?,17,,,,
"Can you tell me recipe to make a quick dessert , tell me one which is your favorite.",21,,,,
The album the ways to love a man by Tammy Wynette,15,,,,
Where to visit in Brazil?,6,,,,
which are rainbow colours violet red orange purple indigo pink blue black white yellow  green grey,18,,,,
What are some of the most common activities during winter in cold weather climates?,16,,,,
Who is Cindy Robinson?,5,,,,
Does Palmeiras have a Fifa club world cup?,14,,,,
"Given a reference text about Gennady Petrovich Lyachin, tell me when he joined the navy and when he was decommissioned.",34,,,,
How many cats did Freddie Mercury have?,9,,,,
Walter Koenig played which part in the Star Trek series,12,,,,
Write critical success factors for a proposal to a company called ABC for an Enterprise Application Integration (EAI) effort,24,,,,
Extract the reason why was Mark Hunt known as the King of Walk Offs,15,,,,
Monitor and Merrimac refer to what in the passage?,11,,,,
Could you write a poem about a standing desk?,12,,,,
What is the largest city in Washington state?,9,,,,
"Tell me which months have 30 days and which have 31 days, based on this list: January, February, March, April, May, June, July, August, September, October, November, and December.",44,,,,
List down important points about prisoners and events from the given passage,12,,,,
What is the largest or biggest land animal?,9,,,,
What is the current reigning dynasty of Thailand?,14,,,,
What criteria should I be looking at when buying a new motorcycle?,14,,,,
What are the ten best restaurants in London?,10,,,,
"Is it a gas, liquid, or solid",11,,,,
Are plastic bags and containers bad for the environment?,10,,,,
"What are five totally distinct, creative ways to describe the usefulness of an idle mind?",18,,,,
What is an actuary?,7,,,,
"Tell me wether these are cities, or states? IL, chicago, Texas, Fremont, Washington, Washington DC, san jose, bay area",37,,,,
"Identify which instrument is string or percussion: Sabar, Sharud",15,,,,
What is the fastest car?,6,,,,
When is India's independence day?,8,,,,
Who won the 63rd staging of the Limerick Senior Hurling Championship?,18,,,,
Give me a list of 10 different SciFi movies and which year they were released,17,,,,
When did Hungary gain its independence?,7,,,,
Why do people enjoy surfing,5,,,,
Who is the 'sole Survivor' on the TV Show Survivor?,16,,,,
Why do companies play dividends?,7,,,,
Which major league baseball season is considered Sid Gordon's breakout year?,15,,,,
"Classify the cities based on whether they are located in Eritrea or Gabon.
Keren, Franceville, Asmara, Port-Gentil, Assab, Libreville",43,,,,
What is Depreciation,6,,,,
"Give me a list of the last five ""Best New Artist"" Grammy winners.",17,,,,
"In a bingo game, which number is represented by the phrase “two little ducks”?",20,,,,
What is knitting?,4,,,,
Please summarize the timeline of the Chinese Exclusion Act.,11,,,,
What are some foods to cook to celebrate St. Patrick's Day?,15,,,,
Which is longest road or highway or motorway in the world,12,,,,
What is Jenkins?,4,,,,
What are common swimming strokes?,7,,,,
Give me a bullet list of some popular dashboard and visualisation tools,14,,,,
What do you think about the existence of alien lifeform?,12,,,,
"Was the Pixie Lott song ""Mama Do"" ever the #1 single?",18,,,,
What language is HP GL,6,,,,
"Classify each of the following animals as being domesticated or wild: dog, bear, dolphin, cat, cow, hippo, rhino",29,,,,
How do I optimize my Kafka consumption in Spark for low latency?,16,,,,
Tell me about the football career of Adao,10,,,,
How can I learn to snowboard?,7,,,,
Write a brief passage arguing for mandating Electric Vehicles (EVs) over gas combustion vehicles in the United States.,26,,,,
"From the passage provided, extract the low end in Celsius of the optimal coffee extraction temperature range.",19,,,,
"Tell me if these drinks are alcoholic or not: Coca-Cola, Mountain Dew, Budweiser, Rum, Vodka, Tomato Juice, Orange Juice, Sprite, Tequila, Margarita",50,,,,
