"original","summarization","original_token_count","compression_token_count","compression_ratio"
"Who is the best NBA player of all time?","Greatest NBA player of all time?","10","8","0.8"
"Classify each as either a vodka drink or a gin drink: Screwdriver, Bloody Mary, French 75, White Russian, Gimlet, Cosmopolitan, Tom Collins, Negroni","Vodka or gin for each: Screwdriver, Bloody Mary, French 75, White Russian, Gimlet, Cosmopolitan, Tom Collins, Negroni","38","32","0.84"
"How can I get better performance when querying a delta table?","Improve Delta table query performance?","12","6","0.5"
"Which coin of U.S currency has the most ridges.","Which U.S. coin has the most ridges?","12","11","0.92"
"Who was the first woman to have four country albums reach No. 1 on the Billboard 200?","First woman with four country albums at No.1 on Billboard 200?","21","15","0.71"
"From the passage provided, extract the state Lincoln was born in","From the provided passage, extract Lincoln's birth state.","12","11","0.92"
"What is FIFA?","FIFA?","4","3","0.75"
"why is Mahatma Gandhi loved by everyone?","why is Mahatma Gandhi loved by everyone?","9","9","1.0"
"What is Game of Thrones based on?","What is GoT based on?","8","7","0.88"
"What are the benefits of collaborating on a tech blog with your customers?","Benefits of collaborating on a tech blog with your customers?","14","11","0.79"
"Given this paragraph, how many public high schools are in Arlington, Virginia?","Given this paragraph, how many public high schools are in Arlington, Virginia?","15","15","1.0"
"What are all of the professional baseball teams in the state of Florida?","List all professional baseball teams in Florida.","14","8","0.57"
"Given the reference text about the Cy Young Award, please describe what the award is and why it is awarded.","From the Cy Young Award reference text, describe what it is and why it is awarded.","22","18","0.82"
"Extract what is Top Gun","Top Gun definition.","5","4","0.8"
"Where to find the best croissant in San Francisco?","Best croissant in SF — where to find?","11","10","0.91"
"Do cats have nine lives?","Cats have nine lives?","6","5","0.83"
"What is Microsoft?","Microsoft?","4","2","0.5"
"How do you make soap?","How to make soap?","6","5","0.83"
"How would I get from an upstairs apartment to the parking garage?","Directions from upstairs apartment to parking garage?","13","8","0.62"
"What are three most commonly sung lyric soprano arias?","What are three most commonly sung lyric soprano arias?","12","12","1.0"
"Cases of Anthrax were found in Kerala in which animals?","Anthrax cases in Kerala: which animals?","12","9","0.75"
"Categorize the following Taylor Swift songs based on what album they are in: The Archer, tolerate it, Lover, Love Story (Taylor's Version), Bejeweled, Don't Blame Me, 22 (Taylor's version), Look What You Made Me Do, Lavender Haze, willow, Cruel Summer","Sort these Taylor Swift songs by album: The Archer, tolerate it, Lover, Love Story (Taylor's Version), Bejeweled, Don't Blame Me, 22 (Taylor's Version), Look What You Made Me Do, Lavender Haze, willow, Cruel Summer","63","56","0.89"
"I'm creating a class to explain to kids the difference between items that are powered and can be plugged in and items that aren't. Please divide the following things into those you can plug in and those that you can't: table, hairdryer, television, chair, computer, fridge, comb, flowers.","Kids' class: powered/plug-in vs non-powered items. Divide these into plug-in and non-plug-in: table, hairdryer, television, chair, computer, fridge, comb, flowers.","59","41","0.69"
"Can you describe what team effectiveness is?","Describe team effectiveness.","8","4","0.5"
"From the passage below, extract the names of the companies and technologies that Walmart has acquired over the last 3 years.","From the passage below, list Walmart's acquisitions (companies and technologies) in the last 3 years.","24","21","0.88"
"Tell whether these are countries, cities, continents or neither: Australia, Mexico, Mexico city, Antartica, Singapore, India, Gulf, Beijing, Jakarta, Luxembourg, Vatican City","Tell whether these are countries, cities, continents or neither: Australia, Mexico, Mexico city, Antartica, Singapore, India, Gulf, Beijing, Jakarta, Luxembourg, Vatican City","37","37","1.0"
"Why do people like gardening?","Why do people like gardening?","6","6","1.0"
"I am on a week long vacation to India and specifically want to explore Himalayan state of Himachal Pradesh. How should I plan my trip ?","Week-long India trip focused on Himachal Pradesh (Himalayas). How should I plan it?","28","20","0.71"
"From the passage provided, extract the second studio album that Taylor Swift released.","From the passage, name Taylor Swift's second studio album.","15","12","0.8"
"Is there a World Taekwondo Grand Prix","World Taekwondo Grand Prix exists?","9","8","0.89"
"Based on the provided text, place the following books in chronological order:
The Fox in the Attic, In Hazard: A Sea Story, A High Wind in Jamaica, and The Wooden Shepherdess","From the provided text, order these books chronologically: The Fox in the Attic; In Hazard: A Sea Story; A High Wind in Jamaica; The Wooden Shepherdess.","40","36","0.9"
"What is the best way to invest my money?","Best way to invest my money?","10","7","0.7"
"Do George Lucas and Steven Spielberg know each other?","Do Lucas and Spielberg know each other?","10","8","0.8"
"Give me a list of the best bravo tv shows","List the best Bravo TV shows.","10","7","0.7"
"What are the official languages of the United Nations?","UN official languages?","10","4","0.4"
"What type of weather is San Francisco famous for?","What type of weather is SF famous for?","10","9","0.9"
"What makes for a good photograph?","What makes a good photograph?","7","6","0.86"
"What's the game engine used by Bethesda before Creation Engine? And what's the last game make with it?","Bethesda game engine before Creation Engine; last game made with it?","20","14","0.7"
"From the passage provided, extract the languages in which Kishore Kumar provided his vocals as a playback singer. Separate them with a comma.","From passage, list languages Kishore Kumar sang playback in; comma-separated.","27","15","0.56"
"What are some movies that star Will Ferrell?","Will Ferrell movies?","10","5","0.5"
"What is the plot of Harry Potter?","Harry Potter plot?","8","4","0.5"
"What is the old name for The Go Between Bridge?","What is the old name for The Go Between Bridge?","11","11","1.0"
"Can I make chocolate at home?","Can I make chocolate at home?","7","7","1.0"
"How did Alfred Nobel make his money","How did Alfred Nobel make his money","7","7","1.0"
"What is the Trans Tahoe Relay?","What is Trans Tahoe Relay?","7","6","0.86"
"When was the 8088 processor released?","8088 release date?","9","5","0.56"
"How do you prepare for case study interview for digital transformation case?","How to prepare for a digital transformation case interview?","13","10","0.77"
"Identify which instrument is string or woodwind: Wheelharp, Clarinet","Classify Wheelharp and Clarinet as string or woodwind","15","13","0.87"
"Which country makes the best coffee in the world?","Which country makes the best coffee in the world?","10","10","1.0"
"Based on the reference text about Bitcoin, how many countries have banned Bitcoin?","From the Bitcoin reference text, how many countries banned Bitcoin?","15","12","0.8"
"What was the Underground Railroad?","Underground Railroad definition?","6","5","0.83"
"Given this paragraph on LeBron James' early career, when did he win his first NBA MVP?","Given this paragraph on LeBron James' early career, when did he win his first NBA MVP?","20","20","1.0"
"What are the best social media sites","Best social media sites?","7","5","0.71"
"How many musicians performed in the world's largest rock band?","How many musicians performed in the world's largest rock band?","11","11","1.0"
"How has the video gaming industry evolved over the years ?","Evolution of the video game industry over time?","11","9","0.82"
"Give me a list of recommendations to quickly heal from an achilles rupture surgery.","List recommendations to speed recovery after Achilles rupture surgery.","16","10","0.62"
"Which team was relegated from the league at the conclusion of the 1991 Season?","Which team was relegated from the league at end of 1991 season?","18","16","0.89"
"What percussion instruments are easy to learn?","Percussion instruments easy to learn?","8","7","0.88"
"Tell me whether these cities are in Texas: Austin, Houston, New York, Chicago, Miami, Dallas","Are these cities in Texas: Austin, Houston, New York, Chicago, Miami, Dallas?","21","19","0.9"
"Name all the books in the Harry Potter collection","List all Harry Potter books.","9","6","0.67"
"Tell me whether you drive on the right or left side of the road in these countries: USA, Mexico, Spain, England, New Zealand, Japan","Drive side (left/right) in USA, Mexico, Spain, England, New Zealand, Japan?","30","20","0.67"
"Why should we ban artificial sweeteners like aspartame?","Why ban artificial sweeteners (aspartame)?","12","10","0.83"
"Give me some ideas of kids items to stuff into Easter eggs.","Kid-friendly Easter egg filler ideas.","13","7","0.54"
